,tutor_rating,tutor_reviews,experience,mean_price,предмет_informatika,предмет_matematika,tutor_head_tags_count,head_school_class,head_olimp_class,head_english_class,head_other_class,description_is_empty,description_length,experience_desc_is_empty,experience_desc_length,year_of_graduation_1,education_2,year_of_graduation_2,education_3,year_of_graduation_3,education_4,year_of_graduation_4,education_5,year_of_graduation_5,education_6,year_of_graduation_6,academic_degree,academic_rank, Аспирант или ординатор очной формы обучения, Студент, Университетский преподаватель, Частный преподаватель, Школьный преподаватель,Взрослые кроме абитуриентов и студентов,Взрослые кроме абитуриентов и студентов в паре,Взрослые кроме абитуриентов и студентов группа,Дошкольники,Дошкольники в паре,Дошкольники группа,Студенты университетов,Студенты университетов в паре,Школьники с 1 по 4 класс,Школьники с 1 по 4 класс в паре,Школьники с 1 по 4 класс группа,"Школьники с 10 по 11 класс, студенты колледжей и техникумов, абитуриенты","Школьники с 10 по 11 класс, студенты колледжей и техникумов, абитуриенты в паре","Школьники с 10 по 11 класс, студенты колледжей и техникумов, абитуриенты группа",Школьники с 5 по 9 класс,Школьники с 5 по 9 класс в паре,Школьники с 5 по 9 класс группа
0,5.0,2,31.0,16.66666666666667,False,True,3,True,False,False,False,True,0,True,0,1990,False,0,False,0,False,0,False,0,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,4.0,7,8.0,11.66666666666667,False,True,3,True,False,False,False,True,0,True,0,2017,True,2023,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,0.0,0,11.0,23.33333333333334,True,False,3,True,False,False,False,False,340,False,469,2008,True,2014,True,2011,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,4.0,19,5.0,0.1166666666666667,False,True,8,True,False,False,True,False,653,True,0,2021,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
4,0.0,0,19.0,16.66666666666667,False,True,3,True,False,False,False,False,361,False,732,2005,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5,0.0,0,7.0,16.66666666666667,False,True,3,True,False,False,False,True,0,True,0,2019,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
6,0.0,0,27.0,11.66666666666667,False,True,6,True,False,False,True,False,264,True,0,1996,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
7,0.0,0,9.0,10.0,False,True,2,True,False,False,False,True,0,True,0,2015,True,2017,True,2020,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0.0,0,38.0,18.33333333333333,False,True,2,True,False,False,False,False,355,False,71,1981,True,2018,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,4.0,10,28.0,11.66666666666667,False,True,3,True,False,False,False,True,0,True,0,1994,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10,5.0,2,17.0,25.0,False,True,2,True,False,False,False,False,867,False,696,2006,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0.0,0,6.0,20.0,False,True,2,True,False,False,False,False,499,False,65,2021,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0.0,0,5.0,0.1,False,True,2,True,False,False,False,True,0,True,0,2006,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13,0.0,0,9.0,36.66666666666667,True,False,2,True,False,False,False,True,0,False,258,2015,True,2015,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
14,4.0,10,13.0,25.0,False,True,3,True,False,False,False,False,45,True,0,2005,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
15,0.0,0,45.0,8.333333333333334,False,True,3,True,False,False,False,False,163,True,0,1978,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
16,5.0,4,11.0,15.0,False,True,3,True,False,False,False,True,0,True,0,2014,True,2016,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17,0.0,0,4.0,19.16666666666667,False,True,3,True,False,False,False,False,476,False,65,2024,True,2025,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
18,0.0,0,3.0,0.1333333333333333,False,True,2,True,False,False,False,False,632,False,65,2026,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0.0,0,9.0,0.2092592592592593,False,True,4,True,True,False,False,False,305,False,872,2022,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20,5.0,3,10.0,25.0,False,True,3,True,False,False,False,False,454,False,65,2017,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21,4.0,10,2.0,11.66666666666667,False,True,3,True,False,False,False,False,719,True,0,2024,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22,4.0,20,4.0,11.66666666666667,False,True,9,True,True,False,True,False,879,True,0,2019,False,0,False,0,False,0,False,0,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
23,5.0,3,14.0,41.66666666666666,False,True,9,True,True,False,True,False,473,True,0,2005,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
24,0.0,0,5.0,16.66666666666667,False,True,2,True,False,False,False,False,771,False,56,2022,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,0.0,0,2.0,10.72916666666667,True,False,3,True,False,False,False,False,1068,False,103,2025,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
26,0.0,0,20.0,45.41666666666666,True,False,2,True,False,False,False,False,2900,False,133,2003,True,2011,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
27,5.0,2,18.0,7.5,False,True,2,True,False,False,False,False,125,True,0,2004,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,4.0,32,18.0,13.33333333333333,False,True,1,True,False,False,False,False,165,True,0,2004,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29,0.0,0,4.0,0.1629629629629629,False,True,2,True,False,False,False,True,0,False,65,2024,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
30,0.0,0,32.0,16.66666666666667,False,True,3,True,False,False,False,True,0,False,567,1995,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,4.0,5,6.0,14.16666666666667,False,True,3,True,False,False,False,False,613,True,0,2021,False,0,False,0,False,0,False,0,False,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
32,4.0,2,18.0,0.1444444444444444,False,True,4,True,True,False,False,False,1407,True,0,1995,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,4.0,5,9.0,8.333333333333334,False,True,3,True,False,False,False,False,371,True,0,2014,False,0,False,0,False,0,False,0,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
